user_id,first_credit_date,current_date,income_records,login_records,unusual_operations,total_debt,total_income,consumption_records,loan_records,credit_grade
1,2010-01-01,2023-10-15,"[3551, 6360, 5897]","[10, 9, 3]",[],1040.26,17607.94,"[647, 457, 123]",[],0
2,2010-01-02,2023-10-15,"[6959, 7367, 3253]","[10, 7, 13]",[],2965.11,21499.0,"[892, 592, 884]",[],0
3,2010-01-03,2023-10-15,"[6663, 3532, 7960]","[6, 9, 7]",['suspicious_login'],3263.78,33299.61,"[102, 714, 120]",[],0
4,2010-01-04,2023-10-15,"[5415, 7402, 3098]","[11, 18, 14]",[],1753.87,34070.54,"[275, 253, 464]",[37915],0
5,2010-01-05,2023-10-15,"[2634, 5881, 4303]","[9, 18, 14]",[],1593.83,17114.47,"[64, 755, 567]",[],1
6,2010-01-06,2023-10-15,"[6337, 7088, 6144]","[17, 14, 18]",[],5998.49,22670.29,"[910, 304, 522]",[],0
7,2010-01-07,2023-10-15,"[4245, 7221, 5443]","[17, 12, 17]",[],3798.84,26319.03,"[385, 452, 590]",[18363],0
8,2010-01-08,2023-10-15,"[7463, 3662, 5783]","[2, 16, 16]",[],2536.04,24958.21,"[779, 912, 740]",[],0
9,2010-01-09,2023-10-15,"[3308, 2250, 7675]","[15, 1, 5]",['suspicious_login'],3774.71,28334.08,"[712, 182, 267]",[3116],0
10,2010-01-10,2023-10-15,"[4366, 2240, 7467]","[13, 4, 19]",['suspicious_login'],4186.18,16695.77,"[781, 57, 799]",[],0
11,2010-01-11,2023-10-15,"[4850, 6169, 3751]","[6, 3, 13]",[],1664.15,26576.7,"[705, 303, 421]",[46927],0
12,2010-01-12,2023-10-15,"[2275, 4480, 7929]","[16, 4, 19]",[],3901.27,27993.52,"[202, 616, 96]",[],0
13,2010-01-13,2023-10-15,"[7952, 4605, 6985]","[18, 1, 14]",[],4175.19,27826.74,"[900, 592, 956]",[18364],1
14,2010-01-14,2023-10-15,"[3508, 6839, 2407]","[10, 16, 9]",[],1975.81,38503.92,"[687, 157, 837]",[],0
15,2010-01-15,2023-10-15,"[5367, 5228, 6033]","[14, 5, 5]",['suspicious_login'],3850.22,28123.34,"[947, 446, 410]",[],0
16,2010-01-16,2023-10-15,"[2867, 7963, 2881]","[5, 10, 8]",[],2491.07,20699.22,"[575, 77, 885]",[],0
17,2010-01-17,2023-10-15,"[4032, 7297, 6679]","[10, 13, 8]",[],2487.06,26656.14,"[401, 197, 104]",[],0
18,2010-01-18,2023-10-15,"[2839, 2863, 5963]","[19, 16, 12]",[],1827.63,22304.97,"[651, 322, 938]",[],1
19,2010-01-19,2023-10-15,"[4201, 5698, 7669]","[12, 7, 8]",['suspicious_login'],5940.87,23148.6,"[583, 847, 348]",[44418],0
20,2010-01-20,2023-10-15,"[7503, 7812, 6607]","[8, 15, 17]",['suspicious_login'],4619.43,23512.17,"[511, 938, 113]",[],0
21,2010-01-21,2023-10-15,"[4233, 2464, 6173]","[17, 18, 10]",[],4624.26,21189.65,"[88, 784, 338]",[28506],0
22,2010-01-22,2023-10-15,"[3409, 7277, 2753]","[19, 5, 18]",[],1901.16,35330.53,"[116, 524, 195]",[],0
23,2010-01-23,2023-10-15,"[6522, 4936, 3264]","[17, 5, 17]",[],2263.05,28547.19,"[304, 576, 403]",[8071],0
24,2010-01-24,2023-10-15,"[4570, 2508, 7867]","[18, 16, 8]",[],2317.09,20914.94,"[206, 921, 498]",[],0
25,2010-01-25,2023-10-15,"[4543, 4684, 6411]","[2, 19, 7]",[],2296.03,22258.74,"[608, 81, 835]",[],1
26,2010-01-26,2023-10-15,"[6405, 4376, 2660]","[9, 4, 16]",[],5305.03,13341.15,"[444, 822, 412]",[],0
27,2010-01-27,2023-10-15,"[2781, 4300, 2316]","[13, 4, 12]",[],3382.3,22539.63,"[299, 190, 662]",[],0
28,2010-01-28,2023-10-15,"[7324, 2034, 2177]","[19, 2, 17]",[],2057.74,16563.1,"[145, 812, 241]",[],1
29,2010-01-29,2023-10-15,"[4215, 6047, 3982]","[9, 2, 13]",[],1734.55,44101.67,"[787, 889, 517]",[],0
30,2010-01-30,2023-10-15,"[4584, 3293, 3927]","[1, 10, 9]",[],3060.61,19465.2,"[958, 772, 198]",[],0
31,2010-01-31,2023-10-15,"[4582, 6263, 3315]","[13, 12, 10]",[],3455.24,31061.7,"[597, 324, 137]",[],0
32,2010-02-01,2023-10-15,"[3129, 3190, 3507]","[11, 19, 13]",[],2011.49,15020.1,"[117, 229, 137]",[],1
33,2010-02-02,2023-10-15,"[7449, 5099, 5427]","[10, 10, 9]",[],3909.63,16528.99,"[621, 110, 164]",[],0
34,2010-02-03,2023-10-15,"[6297, 5029, 3340]","[16, 16, 6]",[],3756.6,23637.02,"[730, 699, 441]",[],0
35,2010-02-04,2023-10-15,"[5639, 2732, 5345]","[18, 2, 1]",[],3959.97,17778.39,"[306, 160, 759]",[],0
36,2010-02-05,2023-10-15,"[2056, 7480, 2110]","[19, 8, 1]",[],3960.63,18980.82,"[821, 784, 349]",[26949],0
37,2010-02-06,2023-10-15,"[7191, 5438, 2379]","[3, 11, 14]",[],4109.33,38307.14,"[500, 515, 812]",[],0
38,2010-02-07,2023-10-15,"[4277, 7575, 2644]","[1, 16, 5]",[],4485.92,42465.53,"[328, 991, 779]",[],0
39,2010-02-08,2023-10-15,"[5739, 7897, 7386]","[1, 16, 12]",[],2848.78,19158.17,"[212, 426, 643]",[],0
40,2010-02-09,2023-10-15,"[5199, 4205, 2528]","[5, 14, 8]",[],2723.08,19659.54,"[957, 790, 974]",[],0
41,2010-02-10,2023-10-15,"[7764, 4641, 2395]","[11, 8, 1]",[],1758.08,20989.38,"[880, 281, 896]",[],1
42,2010-02-11,2023-10-15,"[6773, 7500, 5458]","[12, 11, 15]",[],1993.6,24981.97,"[699, 309, 236]",[],0
43,2010-02-12,2023-10-15,"[7034, 4965, 5047]","[1, 7, 18]",['suspicious_login'],4732.92,14978.79,"[968, 726, 919]",[],0
44,2010-02-13,2023-10-15,"[6384, 3414, 3332]","[1, 15, 18]",[],4317.91,17511.88,"[877, 326, 115]",[],0
45,2010-02-14,2023-10-15,"[3617, 3987, 5086]","[19, 15, 8]",[],1703.14,19096.03,"[322, 499, 629]",[27554],1
46,2010-02-15,2023-10-15,"[2815, 3973, 6289]","[18, 4, 1]",[],2845.44,16019.62,"[766, 537, 550]",[13388],0
47,2010-02-16,2023-10-15,"[4918, 2996, 3688]","[10, 8, 16]",[],2708.67,26243.03,"[524, 494, 60]",[],0
48,2010-02-17,2023-10-15,"[4059, 6415, 4727]","[4, 10, 8]",[],2607.88,16364.1,"[500, 272, 178]",[],0
49,2010-02-18,2023-10-15,"[4426, 6074, 7362]","[2, 10, 11]",[],2908.43,25427.69,"[894, 401, 595]",[47591],0
50,2010-02-19,2023-10-15,"[2399, 4251, 5892]","[6, 1, 15]",[],1767.31,40046.58,"[573, 833, 102]",[],0
51,2010-02-20,2023-10-15,"[5830, 2297, 4843]","[2, 17, 12]",['suspicious_login'],2080.78,18581.0,"[458, 599, 550]",[],1
52,2010-02-21,2023-10-15,"[6885, 3830, 6567]","[8, 16, 13]",[],3623.6,31891.03,"[359, 312, 334]",[],0
53,2010-02-22,2023-10-15,"[4723, 6850, 4383]","[16, 9, 8]",[],3461.45,22045.34,"[419, 740, 872]",[],1
54,2010-02-23,2023-10-15,"[4634, 5514, 4433]","[15, 11, 14]",[],2511.35,29634.66,"[612, 941, 87]",[26267],0
55,2010-02-24,2023-10-15,"[7093, 6124, 5751]","[11, 19, 13]",[],3112.66,23529.82,"[77, 490, 609]",[],0
56,2010-02-25,2023-10-15,"[2714, 3595, 6983]","[2, 10, 5]",['suspicious_login'],5070.35,24662.48,"[560, 707, 871]",[30057],0
57,2010-02-26,2023-10-15,"[7004, 5519, 5453]","[5, 17, 2]",[],2590.67,16152.72,"[769, 259, 57]",[31081],0
58,2010-02-27,2023-10-15,"[4210, 6160, 5964]","[14, 12, 14]",[],3449.64,15174.74,"[628, 734, 585]",[],0
59,2010-02-28,2023-10-15,"[7615, 5451, 6799]","[3, 5, 14]",[],2348.12,19311.02,"[908, 875, 882]",[31379],0
60,2010-03-01,2023-10-15,"[2997, 3723, 6568]","[12, 19, 2]",[],2064.09,21607.0,"[253, 993, 88]",[],0
61,2010-03-02,2023-10-15,"[4646, 6325, 4171]","[9, 1, 11]",[],3935.2,32135.21,"[629, 599, 86]",[],0
62,2010-03-03,2023-10-15,"[5084, 5751, 4800]","[15, 19, 5]",[],4388.07,28376.66,"[254, 519, 752]",[16930],0
63,2010-03-04,2023-10-15,"[3784, 5404, 7676]","[3, 18, 11]",[],1778.95,16390.38,"[260, 824, 87]",[],0
64,2010-03-05,2023-10-15,"[7770, 4734, 2915]","[14, 1, 19]",[],1831.6,14295.72,"[500, 255, 265]",[],0
65,2010-03-06,2023-10-15,"[7649, 4538, 6886]","[7, 17, 9]",[],4237.17,11773.78,"[116, 492, 630]",[],0
66,2010-03-07,2023-10-15,"[2598, 3048, 6968]","[16, 9, 14]",[],5476.11,19521.16,"[117, 88, 830]",[35186],0
67,2010-03-08,2023-10-15,"[5518, 6495, 5998]","[9, 8, 11]",[],2601.75,20348.15,"[571, 948, 809]",[],0
68,2010-03-09,2023-10-15,"[2408, 2317, 2801]","[9, 7, 11]",[],7683.93,18419.27,"[89, 948, 780]",[],0
69,2010-03-10,2023-10-15,"[7647, 3230, 2840]","[18, 6, 1]",[],5959.55,16061.4,"[258, 507, 752]",[],0
70,2010-03-11,2023-10-15,"[3322, 5766, 3418]","[12, 8, 14]",[],6308.43,18697.75,"[397, 393, 362]",[],0
71,2010-03-12,2023-10-15,"[4549, 7280, 3391]","[9, 14, 5]",[],3253.48,17661.29,"[469, 392, 866]",[],0
72,2010-03-13,2023-10-15,"[5674, 6728, 7934]","[18, 14, 15]",[],3814.45,29598.19,"[435, 920, 650]",[48085],0
73,2010-03-14,2023-10-15,"[7767, 5389, 3573]","[8, 7, 18]",[],4328.99,26476.58,"[970, 499, 321]",[49297],0
74,2010-03-15,2023-10-15,"[4256, 6572, 5368]","[17, 9, 5]",[],3554.3,41918.54,"[898, 569, 162]",[],0
75,2010-03-16,2023-10-15,"[7619, 3471, 6110]","[2, 15, 15]",[],6428.67,18562.79,"[965, 91, 168]",[],0
76,2010-03-17,2023-10-15,"[6445, 7295, 4477]","[15, 15, 11]",[],1898.03,24220.74,"[793, 195, 992]",[],0
77,2010-03-18,2023-10-15,"[4786, 3702, 4144]","[12, 19, 10]",[],3025.07,20069.55,"[956, 811, 148]",[8816],1
78,2010-03-19,2023-10-15,"[4263, 6063, 4432]","[6, 10, 6]",[],6563.87,31972.73,"[459, 484, 817]",[],0
79,2010-03-20,2023-10-15,"[4159, 6898, 5714]","[6, 4, 19]",[],5321.69,24674.21,"[204, 528, 775]",[43688],0
80,2010-03-21,2023-10-15,"[5275, 6821, 5501]","[7, 1, 17]",[],3311.8,23992.23,"[527, 743, 717]",[8011],0
81,2010-03-22,2023-10-15,"[4095, 6267, 4028]","[4, 11, 18]",[],3230.71,14238.86,"[964, 341, 292]",[],0
82,2010-03-23,2023-10-15,"[7111, 5282, 4501]","[5, 2, 10]",['suspicious_login'],2918.07,23950.8,"[832, 941, 666]",[4605],0
83,2010-03-24,2023-10-15,"[4594, 7641, 3995]","[15, 15, 1]",[],2125.96,23978.58,"[662, 612, 749]",[],0
84,2010-03-25,2023-10-15,"[5141, 6532, 4146]","[4, 10, 18]",[],7619.51,15814.61,"[616, 59, 980]",[],1
85,2010-03-26,2023-10-15,"[6377, 6323, 4946]","[3, 1, 4]",[],7418.86,14455.42,"[449, 509, 894]",[],0
86,2010-03-27,2023-10-15,"[2343, 5836, 6816]","[10, 14, 8]",[],3239.53,22882.51,"[581, 916, 773]",[],0
87,2010-03-28,2023-10-15,"[5993, 6598, 2374]","[7, 7, 9]",[],8439.33,24965.0,"[307, 461, 815]",[33091],0
88,2010-03-29,2023-10-15,"[4056, 5511, 4703]","[4, 14, 9]",[],2163.85,20316.02,"[779, 415, 725]",[],0
89,2010-03-30,2023-10-15,"[3868, 6221, 4241]","[12, 12, 7]",[],2758.43,26677.88,"[379, 342, 217]",[],0
90,2010-03-31,2023-10-15,"[2232, 4471, 5599]","[11, 14, 13]",[],2733.47,27728.59,"[52, 540, 615]",[12413],0
91,2010-04-01,2023-10-15,"[2177, 4792, 2500]","[13, 9, 5]",[],2354.91,29098.61,"[892, 392, 418]",[],0
92,2010-04-02,2023-10-15,"[6268, 6622, 4407]","[19, 1, 2]",[],1897.52,26485.75,"[226, 594, 907]",[],0
93,2010-04-03,2023-10-15,"[6511, 6861, 6685]","[7, 4, 2]",[],3052.86,17451.35,"[857, 452, 953]",[45808],1
94,2010-04-04,2023-10-15,"[7131, 6024, 2178]","[11, 9, 6]",['suspicious_login'],2472.35,15860.34,"[219, 682, 733]",[],0
95,2010-04-05,2023-10-15,"[2033, 3641, 6528]","[15, 8, 17]",[],1851.74,33017.5,"[494, 221, 306]",[],0
96,2010-04-06,2023-10-15,"[2773, 5742, 5925]","[13, 19, 10]",[],3148.98,16328.44,"[939, 792, 541]",[],1
97,2010-04-07,2023-10-15,"[6999, 5794, 2183]","[6, 2, 10]",[],2534.98,22797.88,"[859, 252, 514]",[],0
98,2010-04-08,2023-10-15,"[2045, 2283, 2164]","[7, 12, 15]",[],2761.34,17814.16,"[674, 72, 265]",[28485],0
